,Passengers,Distance (miles),Carrier Code,Airline,Origin Airport,Origin City Name,Origin Latitude (Deg.),Origin Longitude (Deg.),Destination Airport,Destination City Name,Destination Latitude (Deg.),Destination Longitude (Deg.),Month,Estimated Aircraft Capacity,SFC (L/100km per Pax),No of Flights Per Month,Climb-Descent Penalty (mi),Fuel Consumed Per Flight (Liters),Total Fuel Per Route (Gal),Fuel Cost Per Gal,Fuel Cost,Origin January,Origin February,Origin March,Origin April,Origin May,Origin June,Origin July,Origin August,Origin September,Origin October,Origin November,Origin December,Destination January,Destination February,Destination March,Destination April,Destination May,Destination June,Destination July,Destination August,Destination September,Destination October,Destination November,Destination December
0,64,66,AA,American Airlines,SAT,San Antonio,29.425,-98.4939,AUS,"Austin, Texas",30.3,-97.7333,6,120,3.97,1,0,4361.078548,1152.074842,3.250093981,3744.35151,50.9,54.6,61.4,68.7,75.3,81.5,84.0,84.1,79.2,70.3,59.6,52.6,48.4,52.2,59.1,67.1,74.2,80.9,84.0,84.0,78.3,68.8,57.6,50.2
1,61,66,AA,American Airlines,SAT,San Antonio,29.425,-98.4939,AUS,"Austin, Texas",30.3,-97.7333,5,120,3.97,1,0,4361.078548,1152.074842,3.374379942,3887.538239,50.9,54.6,61.4,68.7,75.3,81.5,84.0,84.1,79.2,70.3,59.6,52.6,48.4,52.2,59.1,67.1,74.2,80.9,84.0,84.0,78.3,68.8,57.6,50.2
2,124,81,AA,American Airlines,MCO,"Orlando, Florida",28.5336,-81.3867,TPA,"Tampa, Florida",27.9475,-82.4586,8,120,3.97,2,0,4486.848148,2370.599298,3.181130314,7541.185288,59.7,61.1,65.4,70.4,75.9,80.0,81.4,81.5,79.9,73.8,66.1,60.7,59.9,61.3,65.5,70.3,75.8,79.8,80.9,81.1,79.8,73.8,66.1,60.9
3,3645,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,10,120,3.46,31,0,4414.216468,36149.48417,3.101298216,112110.3308,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
4,2693,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,4,120,3.97,23,0,4503.617428,27363.78133,3.267300941,89405.70849,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
5,3487,83,AA,American Airlines,CLT,"Charlotte, North Carolina",35.2269,-80.8433,GSO,"Greensboro, North Carolina",36.08,-79.8194,10,120,3.46,30,0,4414.216468,34983.37178,3.101298216,108493.8685,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8
6,2407,83,AA,American Airlines,CLT,"Charlotte, North Carolina",35.2269,-80.8433,GSO,"Greensboro, North Carolina",36.08,-79.8194,4,120,3.97,21,0,4503.617428,24984.32209,3.267300941,81631.29906,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8
7,3164,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,9,120,3.97,27,0,4503.617428,32122.69982,3.195526481,102648.9379,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
8,2953,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,1,120,3.97,25,0,4503.617428,29743.24058,2.896251081,86143.89268,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
9,2906,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,8,120,3.97,25,0,4503.617428,29743.24058,3.181130314,94617.12424,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
10,2832,83,AA,American Airlines,GSO,"Greensboro, North Carolina",36.08,-79.8194,CLT,"Charlotte, North Carolina",35.2269,-80.8433,12,120,3.97,24,0,4503.617428,28553.51095,3.034597233,86648.40534,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7
11,2876,83,AA,American Airlines,CLT,"Charlotte, North Carolina",35.2269,-80.8433,GSO,"Greensboro, North Carolina",36.08,-79.8194,9,120,3.97,24,0,4503.617428,28553.51095,3.195526481,91243.50038,40.5,42.8,50.2,58.9,67.7,75.0,78.2,76.7,71.2,60.1,49.7,41.7,38.2,40.4,48.2,57.1,66.1,73.7,77.1,75.6,69.5,58.4,47.9,39.8
