State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
ALABAMA,1,DALLAS,47,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,DALLAS,47,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,DALLAS,47,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,DALLAS,47,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,ELMORE,51,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,ELMORE,51,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,ELMORE,51,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,ELMORE,51,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",0
ALABAMA,1,MACON,87,,"SORGHUM, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MARENGO,91,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,MARENGO,91,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MARENGO,91,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MONTGOMERY,101,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,MONTGOMERY,101,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MONTGOMERY,101,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,SUMTER,119,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,SUMTER,119,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,SUMTER,119,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,SUMTER,119,,"SORGHUM, SILAGE - ACRES HARVESTED",0
ALABAMA,1,SUMTER,119,,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,ESCAMBIA,53,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,ESCAMBIA,53,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,ESCAMBIA,53,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,ESCAMBIA,53,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",3
ALABAMA,1,MOBILE,97,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,MOBILE,97,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,MOBILE,97,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,JACKSON,71,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,JACKSON,71,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,JACKSON,71,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,JACKSON,71,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",3
ALABAMA,1,LAUDERDALE,77,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,LAUDERDALE,77,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LAUDERDALE,77,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LAWRENCE,79,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,LAWRENCE,79,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LAWRENCE,79,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LIMESTONE,83,,"SORGHUM, GRAIN - ACRES HARVESTED",276
ALABAMA,1,LIMESTONE,83,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,LIMESTONE,83,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",3
ALABAMA,1,LIMESTONE,83,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",5
ALABAMA,1,MORGAN,103,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,MORGAN,103,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,MORGAN,103,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,CHAMBERS,17,,"SORGHUM, SILAGE - ACRES HARVESTED",0
ALABAMA,1,CHAMBERS,17,,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,CHILTON,21,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,CHILTON,21,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,CHILTON,21,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",2
ALABAMA,1,LAMAR,75,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,LAMAR,75,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LAMAR,75,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LEE,81,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,LEE,81,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,LEE,81,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,BARBOUR,5,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,BARBOUR,5,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,BARBOUR,5,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
ALABAMA,1,COVINGTON,39,,"SORGHUM, GRAIN - ACRES HARVESTED",0
ALABAMA,1,COVINGTON,39,,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",1
