State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
ALABAMA,1,DALLAS,47,,MEASURED IN BU,0
ALABAMA,1,ELMORE,51,,MEASURED IN BU,0
ALABAMA,1,MACON,87,,MEASURED IN BU,0
ALABAMA,1,MARENGO,91,,MEASURED IN BU,0
ALABAMA,1,MONTGOMERY,101,,MEASURED IN BU,0
ALABAMA,1,SUMTER,119,,MEASURED IN BU,0
ALABAMA,1,SUMTER,119,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ALABAMA,1,ESCAMBIA,53,,MEASURED IN BU,0
ALABAMA,1,MOBILE,97,,MEASURED IN BU,0
ALABAMA,1,JACKSON,71,,MEASURED IN BU,0
ALABAMA,1,LAUDERDALE,77,,MEASURED IN BU,0
ALABAMA,1,LAWRENCE,79,,MEASURED IN BU,0
ALABAMA,1,LIMESTONE,83,,MEASURED IN BU,"11,100"
ALABAMA,1,MORGAN,103,,MEASURED IN BU,0
ALABAMA,1,CHAMBERS,17,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ALABAMA,1,CHILTON,21,,MEASURED IN BU,0
ALABAMA,1,LAMAR,75,,MEASURED IN BU,0
ALABAMA,1,LEE,81,,MEASURED IN BU,0
ALABAMA,1,BARBOUR,5,,MEASURED IN BU,0
ALABAMA,1,COVINGTON,39,,MEASURED IN BU,0
ALABAMA,1,COVINGTON,39,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ALABAMA,1,DALE,45,,MEASURED IN BU,0
ALABAMA,1,GENEVA,61,,MEASURED IN BU,0
ALABAMA,1,HENRY,67,,MEASURED IN BU,0
ALABAMA,1,HOUSTON,69,,MEASURED IN BU,"5,255"
ARIZONA,4,YAVAPAI,25,,MEASURED IN BU,0
ARIZONA,4,YAVAPAI,25,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARIZONA,4,COCHISE,3,,MEASURED IN BU,0
ARIZONA,4,GRAHAM,9,,MEASURED IN BU,0
ARIZONA,4,GRAHAM,9,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARIZONA,4,MARICOPA,13,,MEASURED IN BU,"75,567"
ARIZONA,4,MARICOPA,13,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","111,840"
ARIZONA,4,PINAL,21,,MEASURED IN BU,"59,375"
ARIZONA,4,PINAL,21,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","90,979"
ARIZONA,4,YUMA,27,,MEASURED IN BU,"25,667"
ARIZONA,4,YUMA,27,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,FAULKNER,45,,MEASURED IN BU,0
ARKANSAS,5,PERRY,105,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,ARKANSAS,1,,MEASURED IN BU,0
ARKANSAS,5,CRITTENDEN,35,,MEASURED IN BU,"57,256"
ARKANSAS,5,CROSS,37,,MEASURED IN BU,"51,212"
ARKANSAS,5,LEE,77,,MEASURED IN BU,0
ARKANSAS,5,LONOKE,85,,MEASURED IN BU,0
ARKANSAS,5,MONROE,95,,MEASURED IN BU,"159,418"
ARKANSAS,5,PHILLIPS,107,,MEASURED IN BU,0
ARKANSAS,5,PHILLIPS,107,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,PRAIRIE,117,,MEASURED IN BU,0
ARKANSAS,5,SAINT FRANCIS,123,,MEASURED IN BU,0
ARKANSAS,5,WOODRUFF,147,,MEASURED IN BU,0
ARKANSAS,5,BAXTER,5,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,FULTON,49,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,CLAY,21,,MEASURED IN BU,"20,056"
ARKANSAS,5,CRAIGHEAD,31,,MEASURED IN BU,0
ARKANSAS,5,GREENE,55,,MEASURED IN BU,"23,015"
ARKANSAS,5,GREENE,55,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,JACKSON,67,,MEASURED IN BU,0
ARKANSAS,5,LAWRENCE,75,,MEASURED IN BU,0
ARKANSAS,5,MISSISSIPPI,93,,MEASURED IN BU,"26,900"
ARKANSAS,5,POINSETT,111,,MEASURED IN BU,"54,069"
ARKANSAS,5,POINSETT,111,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",900
ARKANSAS,5,RANDOLPH,121,,MEASURED IN BU,0
ARKANSAS,5,WHITE,145,,MEASURED IN BU,0
ARKANSAS,5,BENTON,7,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,MADISON,87,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,MADISON,87,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,WASHINGTON,143,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
ARKANSAS,5,NEVADA,99,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,JEFFERSON,69,,MEASURED IN BU,0
ARKANSAS,5,HEMPSTEAD,57,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",0
ARKANSAS,5,JOHNSON,71,,"SORGHUM, SYRUP - PRODUCTION, MEASURED IN GALLONS",21
CALIFORNIA,6,SONOMA,97,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
CALIFORNIA,6,COLUSA,11,,MEASURED IN BU,0
CALIFORNIA,6,GLENN,21,,MEASURED IN BU,0
CALIFORNIA,6,GLENN,21,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
CALIFORNIA,6,SACRAMENTO,67,,MEASURED IN BU,0
CALIFORNIA,6,SOLANO,95,,MEASURED IN BU,0
CALIFORNIA,6,SUTTER,101,,MEASURED IN BU,0
CALIFORNIA,6,YOLO,113,,MEASURED IN BU,"68,468"
CALIFORNIA,6,FRESNO,19,,MEASURED IN BU,0
CALIFORNIA,6,FRESNO,19,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","85,218"
CALIFORNIA,6,KERN,29,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","70,346"
CALIFORNIA,6,KINGS,31,,MEASURED IN BU,"17,719"
CALIFORNIA,6,KINGS,31,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","89,731"
CALIFORNIA,6,MADERA,39,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
CALIFORNIA,6,MERCED,47,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","37,216"
CALIFORNIA,6,SAN JOAQUIN,77,,MEASURED IN BU,"68,034"
CALIFORNIA,6,SAN JOAQUIN,77,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","3,540"
CALIFORNIA,6,STANISLAUS,99,,MEASURED IN BU,0
CALIFORNIA,6,STANISLAUS,99,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","5,482"
CALIFORNIA,6,TULARE,107,,MEASURED IN BU,0
CALIFORNIA,6,TULARE,107,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","113,611"
CALIFORNIA,6,IMPERIAL,25,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
CALIFORNIA,6,RIVERSIDE,65,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
CALIFORNIA,6,SAN BERNARDINO,71,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",0
COLORADO,8,ADAMS,1,,MEASURED IN BU,"228,106"
COLORADO,8,ADAMS,1,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","2,384"
COLORADO,8,ARAPAHOE,5,,MEASURED IN BU,0
COLORADO,8,CHEYENNE,17,,MEASURED IN BU,"2,221,997"
COLORADO,8,CHEYENNE,17,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","40,472"
COLORADO,8,EL PASO,41,,MEASURED IN BU,"16,208"
COLORADO,8,EL PASO,41,,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",149
COLORADO,8,ELBERT,39,,MEASURED IN BU,"175,124"
