State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
ALABAMA,1,DALLAS,47,,SORGHUM - OPERATIONS WITH SALES,2
ALABAMA,1,DALLAS,47,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,ELMORE,51,,SORGHUM - OPERATIONS WITH SALES,2
ALABAMA,1,ELMORE,51,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,MACON,87,,SORGHUM - OPERATIONS WITH SALES,2
ALABAMA,1,MACON,87,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,MARENGO,91,,SORGHUM - OPERATIONS WITH SALES,1
ALABAMA,1,MARENGO,91,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,MONTGOMERY,101,,SORGHUM - OPERATIONS WITH SALES,1
ALABAMA,1,MONTGOMERY,101,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,SUMTER,119,,SORGHUM - OPERATIONS WITH SALES,2
ALABAMA,1,SUMTER,119,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,ESCAMBIA,53,,SORGHUM - OPERATIONS WITH SALES,3
ALABAMA,1,ESCAMBIA,53,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,MOBILE,97,,SORGHUM - OPERATIONS WITH SALES,1
ALABAMA,1,MOBILE,97,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,JACKSON,71,,SORGHUM - OPERATIONS WITH SALES,3
ALABAMA,1,JACKSON,71,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,LAUDERDALE,77,,SORGHUM - OPERATIONS WITH SALES,1
ALABAMA,1,LAUDERDALE,77,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,LAWRENCE,79,,SORGHUM - OPERATIONS WITH SALES,1
ALABAMA,1,LAWRENCE,79,,"SORGHUM - SALES, MEASURED IN $",0
ALABAMA,1,LIMESTONE,83,,SORGHUM - OPERATIONS WITH SALES,5
