State,State ANSI,County,County ANSI,,Data Item,Value
ALABAMA,1,MACON,87,,MEASURED IN LB,0
ALABAMA,1,MACON,87,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
ALABAMA,1,LAUDERDALE,77,,MEASURED IN LB,"27,600"
ALABAMA,1,LAUDERDALE,77,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","27,600"
ALABAMA,1,CHILTON,21,,MEASURED IN LB,0
ALABAMA,1,CHILTON,21,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
ALABAMA,1,RANDOLPH,111,,MEASURED IN LB,"3,600"
ALABAMA,1,RANDOLPH,111,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","3,600"
ALABAMA,1,GENEVA,61,,MEASURED IN LB,0
ALABAMA,1,GENEVA,61,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
ARKANSAS,5,SAINT FRANCIS,123,,MEASURED IN LB,0
ARKANSAS,5,SAINT FRANCIS,123,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SAN LUIS OBISPO,79,,MEASURED IN LB,0
CALIFORNIA,6,SAN LUIS OBISPO,79,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SAN MATEO,81,,MEASURED IN LB,0
CALIFORNIA,6,SAN MATEO,81,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SAN MATEO,81,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SONOMA,97,,MEASURED IN LB,0
CALIFORNIA,6,SONOMA,97,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,BUTTE,7,,MEASURED IN LB,"991,180"
CALIFORNIA,6,BUTTE,7,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","991,180"
CALIFORNIA,6,COLUSA,11,,MEASURED IN LB,"7,724,327"
CALIFORNIA,6,COLUSA,11,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB","309,388"
CALIFORNIA,6,COLUSA,11,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","7,414,939"
CALIFORNIA,6,GLENN,21,,MEASURED IN LB,"1,917,596"
CALIFORNIA,6,GLENN,21,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,GLENN,21,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SACRAMENTO,67,,MEASURED IN LB,0
CALIFORNIA,6,SACRAMENTO,67,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SACRAMENTO,67,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SOLANO,95,,MEASURED IN LB,"9,931,182"
CALIFORNIA,6,SOLANO,95,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","9,931,182"
CALIFORNIA,6,SUTTER,101,,MEASURED IN LB,"7,544,115"
CALIFORNIA,6,SUTTER,101,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SUTTER,101,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,TEHAMA,103,,MEASURED IN LB,0
CALIFORNIA,6,TEHAMA,103,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,YOLO,113,,MEASURED IN LB,"17,381,414"
CALIFORNIA,6,YOLO,113,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,YOLO,113,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,YUBA,115,,MEASURED IN LB,0
CALIFORNIA,6,YUBA,115,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,KINGS,31,,MEASURED IN LB,0
CALIFORNIA,6,KINGS,31,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,MERCED,47,,MEASURED IN LB,0
CALIFORNIA,6,MERCED,47,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",0
CALIFORNIA,6,SAN JOAQUIN,77,,MEASURED IN LB,"2,887,008"
CALIFORNIA,6,SAN JOAQUIN,77,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","2,887,008"
CALIFORNIA,6,IMPERIAL,25,,MEASURED IN LB,"470,058"
CALIFORNIA,6,IMPERIAL,25,,"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB","470,058"
CALIFORNIA,6,LOS ANGELES,37,,MEASURED IN LB,0
CALIFORNIA,6,LOS ANGELES,37,,"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",0
COLORADO,8,ADAMS,1,,MEASURED IN LB,"6,213,176"
