fips,FIPS,Name,Longitude,Latitude,State,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,
01001,01001,Autauga County,-86.64289976,32.53514228,Alabama,46.3,49.2,56.1,63.6,71.4,78.3,80.7,80,75.4,64.6,54.3,47.2,,,,,,,,,,,
01003,01003,Baldwin County,-87.72274477,30.72782468,Alabama,51,53.6,59.6,66.4,73.5,79.4,81.2,80.9,77.3,68,58.3,52.3,,,,,,,,,,,
01005,01005,Barbour County,-85.39106787,31.87009042,Alabama,47.8,50.6,57.1,64.5,72.3,78.6,80.4,79.9,75.9,65.6,55.8,48.8,,,,,,,,,,,
01007,01007,Bibb County,-87.12681433,32.99837607,Alabama,44.3,47.3,54.6,62.5,70.4,77.6,80.1,79.5,74.7,63.6,52.8,45.6,,,,,,,,,,,
01009,01009,Blount County,-86.5670064,33.98087061,Alabama,41.6,44.5,52,60.3,68.5,75.8,78.8,77.9,72.6,61.5,50.6,43.1,,,,,,,,,,,
01011,01011,Bullock County,-85.71572943,32.10045868,Alabama,46.8,49.7,56.2,63.8,71.7,78.1,80.1,79.6,75.5,65,55.1,47.9,,,,,,,,,,,
01013,01013,Butler County,-86.68040924,31.75252432,Alabama,47.5,50.5,57.1,64.4,71.9,78.3,80.3,79.8,75.7,65.3,55.3,48.6,,,,,,,,,,,
01015,01015,Calhoun County,-85.82574705,33.77141549,Alabama,42.3,45.3,52.6,60.7,68.8,76,78.8,78,72.8,61.6,51,43.6,,,,,,,,,,,
01017,01017,Chambers County,-85.39168915,32.91366622,Alabama,43.7,46.5,53.4,61.3,69.2,76.1,78.4,77.8,73.1,62.4,52.1,44.6,,,,,,,,,,,
01019,01019,Cherokee County,-85.60387066,34.17588713,Alabama,41.4,44.4,51.9,60.4,68.7,76,78.9,78.1,72.8,61.4,50.5,42.7,,,,,,,,,,,
01021,01021,Chilton County,-86.71887934,32.84771004,Alabama,44.7,47.6,54.7,62.4,70.3,77.4,79.7,79.1,74.4,63.4,53,45.8,,,,,,,,,,,
01023,01023,Choctaw County,-88.26305322,32.02019311,Alabama,47.1,50.1,57,64.4,71.9,78.6,80.8,80.4,75.6,64.9,54.8,48.4,,,,,,,,,,,
01025,01025,Clarke County,-87.83077181,31.67695451,Alabama,47.9,50.8,57.5,64.7,72.1,78.7,80.7,80.2,75.8,65.5,55.4,49,,,,,,,,,,,
