time,latitude,longitude,tmpsfc,tmp2m,ugrd10m,vgrd10m
UTC,degrees_north,degrees_east,K,K,m s-1,m s-1
2023-01-01T12:00:00Z,20,60,297.90015,297.07346,-3.3498437,-5.5590234
2023-01-01T12:00:00Z,20,65,297.80014,296.72348,-1.5198437,-5.0390234
2023-01-01T12:00:00Z,20,70,298.00015,296.90347,1.6001562,-4.8890233
2023-01-01T12:00:00Z,20,75,298.40015,299.98346,0.48015624,-0.49902344
2023-01-01T12:00:00Z,20,80,294.40015,297.68347,0.9401562,-0.5390234
2023-01-01T12:00:00Z,20,85,293.60016,295.32346,-1.0298437,2.0409765
2023-01-01T12:00:00Z,20,90,298.70016,296.59348,-2.3998437,-4.589023
2023-01-01T12:00:00Z,20,95,291.30014,295.18347,0.32015625,-1.0690234
2023-01-01T12:00:00Z,20,100,292.50015,293.39346,-0.17984374,0.76097655
2023-01-01T12:00:00Z,20,105,282.90015,283.79346,-0.25984374,0.34097657
2023-01-01T12:00:00Z,20,110,291.70016,289.66348,-5.319844,-3.1490233
2023-01-01T12:00:00Z,20,115,297.00015,294.58347,-10.969844,-8.859023
2023-01-01T12:00:00Z,20,120,298.20016,297.28348,-12.109843,-9.939023
2023-01-01T12:00:00Z,20,125,299.10016,298.38348,-11.239843,-1.8690234
2023-01-01T12:00:00Z,20,130,298.90015,298.32346,-11.739843,-4.5390234
2023-01-01T12:00:00Z,25,60,297.70016,296.72348,5.3301563,-2.7390234
2023-01-01T12:00:00Z,25,65,297.40015,297.50348,4.900156,2.0409765
2023-01-01T12:00:00Z,25,70,295.90015,297.99347,1.0601562,-1.3190234
2023-01-01T12:00:00Z,25,75,287.70016,291.81348,-0.63984376,-1.1590234
2023-01-01T12:00:00Z,25,80,287.40015,290.69348,-0.8698437,-2.3790233
2023-01-01T12:00:00Z,25,85,286.60016,291.19348,0.71015626,-1.2590234
2023-01-01T12:00:00Z,25,90,290.90015,293.25348,1.7101562,-1.0490234
2023-01-01T12:00:00Z,25,95,289.10016,289.47348,0.61015624,-1.1890234
2023-01-01T12:00:00Z,25,100,278.00015,279.74347,1.0201563,0.46097654
2023-01-01T12:00:00Z,25,105,278.90015,280.49347,-0.34984374,-0.12902343
2023-01-01T12:00:00Z,25,110,282.20016,283.72348,-1.1198437,-1.5390234
2023-01-01T12:00:00Z,25,115,283.60016,284.08347,0.8201562,-1.8590235
2023-01-01T12:00:00Z,25,120,290.30014,289.57346,-5.7298436,-13.139023
2023-01-01T12:00:00Z,25,125,296.60016,292.74347,-10.509844,-2.6290233
2023-01-01T12:00:00Z,25,130,296.90015,292.79346,-7.569844,-5.7090235
2023-01-01T12:00:00Z,30,60,287.20016,283.23346,2.830156,-1.8790234
2023-01-01T12:00:00Z,30,65,286.20016,285.50348,1.5501562,-3.0190234
2023-01-01T12:00:00Z,30,70,285.10016,285.50348,-2.1298437,0.23097655
2023-01-01T12:00:00Z,30,75,289.40015,291.18347,-0.8098437,-2.6890235
2023-01-01T12:00:00Z,30,80,275.90015,278.61346,-0.46984375,-1.6490234
2023-01-01T12:00:00Z,30,85,260.10016,259.99347,11.090156,4.4209766
